,Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
110,2023-03-30 10:00:10.000,General ,TIKTOK_BUSINESS,Evergreen ,1055,144,Video
111,2023-03-30 09:42:19.770,DOTA2,TWITTER,N/A ,157,1,Text
112,2023-03-30 09:40:19.117,DOTA2,TWITTER,N/A ,679,45,Photo
113,2023-03-30 09:10:37.784,General ,TWITTER,Community Engagement ,497,2,Text
114,2023-03-30 09:00:23.000,General ,INSTAGRAM,Community Engagement ,23121,2144,Carousel
115,2023-03-30 09:00:21.000,General ,INSTAGRAM,N/A ,0,0,Text
116,2023-03-30 09:00:21.000,General ,INSTAGRAM,N/A ,0,0,Text
117,2023-03-30 09:00:21.000,General ,INSTAGRAM,N/A ,0,0,Text
118,2023-03-30 09:00:21.000,General ,INSTAGRAM,N/A ,0,0,Text
119,2023-03-30 09:00:21.000,General ,INSTAGRAM,N/A ,0,0,Text
120,2023-03-30 09:00:21.000,General ,INSTAGRAM,N/A ,0,0,Text
121,2023-03-30 09:00:13.867,General ,TWITTER,Community Engagement ,10447,208,Photo
122,2023-03-30 09:00:11.000,General ,FBPAGE,Community Engagement ,59132,5038,Photo
123,2023-03-30 09:00:11.000,General ,FBPAGE,Community Engagement ,29566,2519,Photo
124,2023-03-30 09:00:11.000,General ,FBPAGE,Community Engagement ,29566,2519,Photo
125,2023-03-30 08:30:03.000,General ,FBPAGE,Community Engagement ,20930,5369,Photo
126,2023-03-30 08:30:03.000,General ,FBPAGE,Community Engagement ,20930,5369,Photo
127,2023-03-30 08:30:03.000,General ,FBPAGE,Community Engagement ,41860,10736,Photo
128,2023-03-30 08:30:02.300,DOTA2,TWITTER,Community Engagement ,6655,307,Photo
129,2023-03-29 16:27:56.000,General ,TIKTOK_BUSINESS,N/A ,415,45,Video
130,2023-03-29 15:48:05.400,General ,TWITTER,N/A ,0,0,Link
131,2023-03-29 15:30:24.000,General ,INSTAGRAM,Evergreen ,41667,1516,Video
132,2023-03-29 15:30:06.000,General ,TIKTOK_BUSINESS,Evergreen ,119,4,Video
133,2023-03-29 14:48:16.542,General ,TWITTER,Evil Exhibited ,976,16,Text
134,2023-03-29 14:37:07.000,General ,YOUTUBE,N/A ,2261,24,Video
135,2023-03-29 14:34:07.000,General ,YOUTUBE,N/A ,2402,36,Video
136,2023-03-29 14:19:36.337,General ,TWITTER,Evil Exhibited ,171,11,Text
137,2023-03-29 13:58:49.000,General ,YOUTUBE,N/A ,2709,89,Video
138,2023-03-29 13:25:10.006,General ,TWITTER,Evil Exhibited ,2088,55,Video
139,2023-03-29 13:24:21.409,General ,TWITTER,Evil Exhibited ,2402,58,Video
140,2023-03-29 13:10:03.736,General ,TWITTER,Evil Exhibited ,1651,18,Text
141,2023-03-29 13:07:50.000,General ,YOUTUBE,N/A ,0,0,Video
142,2023-03-29 13:06:40.429,General ,TWITTER,Evil Exhibited ,506,28,Text
143,2023-03-29 13:06:32.836,General ,TWITTER,Evil Exhibited ,428,9,Text
144,2023-03-29 13:00:36.267,DOTA2,TWITTER,Evil Exhibited ,1146,79,Video
145,2023-03-29 13:00:20.567,General ,TWITTER,Evil Exhibited ,17964,606,Text
146,2023-03-29 13:00:13.331,General ,INSTAGRAM,N/A ,0,0,Text
147,2023-03-29 13:00:13.301,General ,INSTAGRAM,N/A ,0,0,Text
148,2023-03-29 13:00:13.294,General ,INSTAGRAM,N/A ,0,0,Text
149,2023-03-29 13:00:13.290,General ,INSTAGRAM,N/A ,0,0,Text
150,2023-03-29 13:00:13.275,General ,INSTAGRAM,N/A ,0,0,Text
151,2023-03-29 13:00:13.265,General ,INSTAGRAM,N/A ,0,0,Text
152,2023-03-29 13:00:07.000,General ,INSTAGRAM,Evil Exhibited ,9463,195,Video
153,2023-03-29 13:00:01.868,General ,TWITTER,Evil Exhibited ,172409,8900,Video
154,2023-03-29 13:00:01.000,General ,FBPAGE,Evil Exhibited ,10279,819,Video
155,2023-03-29 13:00:01.000,General ,FBPAGE,Evil Exhibited ,10633,516,Video
156,2023-03-29 12:49:41.000,General ,INSTAGRAM,Evergreen ,186,6,Video
157,2023-03-29 12:49:02.000,General ,TIKTOK_BUSINESS,Evergreen ,101,8,Video
158,2023-03-29 12:38:33.983,General ,TWITTER,Community Engagement ,26091,32,Link
159,2023-03-29 12:26:57.239,General ,INSTAGRAM,N/A ,0,0,Photo
160,2023-03-29 12:26:49.000,General ,INSTAGRAM,Community Engagement ,3999,0,Photo
161,2023-03-29 12:25:42.813,General ,TWITTER,Community Engagement ,12469,64,Link
162,2023-03-29 12:25:42.207,General ,TWITTER,Community Engagement ,139835,1095,Photo
163,2023-03-29 12:25:41.000,General ,FBPAGE,Community Engagement ,15882,171,Photo
164,2023-03-29 12:12:54.000,Valorant,YOUTUBE,Evil Exhibited ,757,39,Video
165,2023-03-29 11:33:49.154,General ,TWITTER,Community Engagement ,11436,188,Video
166,2023-03-29 11:30:47.000,General ,YOUTUBE,N/A ,0,0,Video
167,2023-03-29 11:01:11.963,General,LINKEDIN_COMPANY,Community Engagement ,888,23,Video
168,2023-03-29 11:00:24.083,General ,TWITTER,Community Engagement ,17971,150,Video
169,2023-03-29 10:49:54.273,General ,TWITTER,Community Engagement ,504,19,Text
170,2023-03-29 10:27:29.051,General ,TWITTER,Community Engagement ,1942,24,Text
171,2023-03-29 09:07:16.346,General ,INSTAGRAM,N/A ,0,0,Text
172,2023-03-29 09:05:57.000,General ,INSTAGRAM,Community Engagement ,23671,1340,Video
173,2023-03-29 09:00:31.199,General ,TWITTER,Community Engagement ,17441,599,Video
174,2023-03-29 09:00:26.006,DOTA2,TWITTER,Community Engagement ,7322,615,Video
175,2023-03-29 09:00:01.000,General ,FBPAGE,Community Engagement ,16352,4981,Video
176,2023-03-29 09:00:01.000,General ,FBPAGE,Community Engagement ,136321,19984,Video
177,2023-03-29 07:35:16.874,DOTA2,TWITTER,N/A ,153,11,Text
178,2023-03-29 07:30:02.783,DOTA2,TWITTER,Evil Exhibited ,1027,24,Photo
179,2023-03-29 07:30:00.000,General ,FBPAGE,Evil Exhibited ,19260,1086,Photo
180,2023-03-28 23:14:48.651,CSGO,TWITTER,N/A ,0,0,Text
181,2023-03-28 23:11:21.144,CSGO,TWITTER,N/A ,0,0,Text
182,2023-03-28 23:11:14.615,CSGO,TWITTER,N/A ,0,0,Text
183,2023-03-28 23:11:10.746,CSGO,TWITTER,N/A ,0,0,Text
184,2023-03-28 23:10:59.897,CSGO,TWITTER,N/A ,0,0,Text
185,2023-03-28 23:10:56.530,CSGO,TWITTER,N/A ,0,0,Text
186,2023-03-28 23:10:26.864,CSGO,TWITTER,Community Engagement ,19297,250,Photo
187,2023-03-28 21:29:00.323,CSGO,TWITTER,Community Engagement ,846,11,Photo
188,2023-03-28 21:23:04.592,CSGO,TWITTER,Community Engagement ,2940,484,Video
189,2023-03-28 20:09:14.132,CSGO,TWITTER,Community Engagement ,1206,10,Photo
190,2023-03-28 19:16:31.342,CSGO,TWITTER,Community Engagement ,2068,53,Photo
191,2023-03-28 17:46:04.371,CSGO,TWITTER,Community Engagement ,665,10,Photo
192,2023-03-28 17:30:13.000,General ,INSTAGRAM,Evil Exhibited ,7031,107,Photo
193,2023-03-28 17:30:04.000,General ,FBPAGE,Evil Exhibited ,13976,93,Photo
194,2023-03-28 17:30:03.071,General ,TWITTER,Evil Exhibited ,12802,100,Photo
195,2023-03-28 17:29:49.000,General ,YOUTUBE,N/A ,136,5,Video
196,2023-03-28 17:08:00.347,DOTA2,TWITTER,N/A ,732,24,Text
197,2023-03-28 16:47:45.979,CSGO,TWITTER,Community Engagement ,997,15,Photo
198,2023-03-28 16:31:41.000,General ,INSTAGRAM,N/A ,0,0,Photo
199,2023-03-28 16:31:34.000,General ,INSTAGRAM,Community Engagement ,4544,0,Photo
200,2023-03-28 16:30:01.626,General ,TWITTER,Community Engagement ,61508,1095,Photo
201,2023-03-28 16:30:00.000,General ,FBPAGE,Community Engagement ,16669,133,Photo
202,2023-03-28 16:08:11.137,General ,TWITTER,N/A ,0,0,Text
203,2023-03-28 16:03:13.000,Valorant,YOUTUBE,Evil Exhibited ,0,0,Video
204,2023-03-28 15:30:10.756,CSGO,TWITTER,Community Engagement ,816,8,Photo
205,2023-03-28 15:30:01.114,General ,TWITTER,Community Engagement ,13362,65,Photo
206,2023-03-28 14:59:06.000,Valorant,YOUTUBE,Evil Exhibited ,3,0,Video
207,2023-03-28 14:35:12.155,CSGO,TWITTER,Community Engagement ,2365,38,Photo
208,2023-03-28 14:03:40.000,General ,TIKTOK_BUSINESS,N/A ,196,11,Video
209,2023-03-28 14:02:31.000,General ,INSTAGRAM,N/A ,24772,1145,Video
210,2023-03-28 14:00:08.000,General ,FBPAGE,Community Engagement ,16977,140,Photo
211,2023-03-28 14:00:06.095,General ,TWITTER,Community Engagement ,24400,435,Photo
212,2023-03-28 13:43:19.909,General ,TWITTER,Evil Exhibited ,434,30,Text
213,2023-03-28 12:43:53.000,General ,FBPAGE,Evil Exhibited ,8040,258,Video
214,2023-03-28 12:42:35.457,DOTA2,TWITTER,Evil Exhibited ,0,0,Video
215,2023-03-28 12:42:13.831,General ,TWITTER,Evil Exhibited ,43253,1126,Video
216,2023-03-28 12:41:18.892,General ,INSTAGRAM,N/A ,0,0,Text
217,2023-03-28 12:41:18.459,General ,INSTAGRAM,N/A ,0,0,Text
218,2023-03-28 12:41:18.429,General ,INSTAGRAM,N/A ,0,0,Text
219,2023-03-28 12:41:18.424,General ,INSTAGRAM,N/A ,0,0,Text
220,2023-03-28 12:41:18.419,General ,INSTAGRAM,N/A ,0,0,Text
221,2023-03-28 12:41:18.000,General ,INSTAGRAM,N/A ,0,0,Text
222,2023-03-28 12:41:08.000,General ,INSTAGRAM,Evil Exhibited ,7136,104,Video
223,2023-03-28 12:23:48.911,General ,INSTAGRAM,N/A ,0,0,Text
224,2023-03-28 12:23:33.000,General ,INSTAGRAM,N/A ,8580,178,Video
225,2023-03-28 10:45:50.000,Valorant,YOUTUBE,Evil Exhibited ,1,0,Video
226,2023-03-27 22:18:00.313,CSGO,TWITTER,Community Engagement ,894,9,Photo
227,2023-03-27 21:11:28.792,CSGO,TWITTER,Community Engagement ,1219,14,Photo
228,2023-03-27 20:05:41.540,CSGO,TWITTER,Community Engagement ,691,7,Photo
229,2023-03-27 19:04:39.208,CSGO,TWITTER,Community Engagement ,2200,36,Photo
230,2023-03-27 17:08:22.061,CSGO,TWITTER,Community Engagement ,727,7,Photo
231,2023-03-27 16:00:23.000,General ,INSTAGRAM,Community Engagement ,4699,0,Photo
232,2023-03-27 15:36:15.844,CSGO,TWITTER,Community Engagement ,1128,14,Photo
233,2023-03-27 14:34:59.016,CSGO,TWITTER,Community Engagement ,1886,24,Photo
234,2023-03-27 14:31:09.237,General ,TWITTER,Community Engagement ,22549,725,Photo
235,2023-03-27 14:30:21.000,General ,INSTAGRAM,Community Engagement ,8380,327,Carousel
236,2023-03-27 11:23:33.135,General ,TWITTER,Community Engagement ,1648,42,Text
237,2023-03-27 11:02:01.106,General ,TWITTER,Community Engagement ,97345,808,Photo
238,2023-03-27 10:41:10.000,General ,TIKTOK_BUSINESS,N/A ,2595,134,Video
239,2023-03-27 10:20:24.328,General ,TWITTER,Evil Exhibited ,297,12,Text
240,2023-03-27 10:00:54.566,General ,TWITTER,Evil Exhibited ,26952,719,Video
241,2023-03-27 09:00:11.000,General ,FBPAGE,Community Engagement ,26354,277,Photo
242,2023-03-27 08:52:19.514,DOTA2,TWITTER,N/A ,0,0,Photo
243,2023-03-27 08:51:57.745,DOTA2,TWITTER,N/A ,588,42,Photo
244,2023-03-26 23:16:47.935,General ,TWITTER,Evil Exhibited ,114,2,Text
245,2023-03-26 23:14:11.149,General ,TWITTER,Evil Exhibited ,242,16,Text
246,2023-03-26 23:14:00.898,General ,TWITTER,N/A ,0,0,Text
247,2023-03-26 23:13:48.866,General ,TWITTER,Evil Exhibited ,293,5,Text
248,2023-03-26 23:13:31.054,General ,TWITTER,N/A ,0,0,Text
249,2023-03-26 23:09:36.760,General ,TWITTER,Evil Exhibited ,209,4,Text
250,2023-03-26 23:09:08.803,General ,TWITTER,Evil Exhibited ,201,5,Text
251,2023-03-26 23:08:18.266,General ,TWITTER,N/A ,0,0,Text
252,2023-03-26 23:08:12.491,General ,TWITTER,N/A ,0,0,Text
253,2023-03-26 23:06:05.083,General ,TWITTER,Evil Exhibited ,123,4,Text
254,2023-03-26 23:05:41.112,General ,TWITTER,N/A ,0,0,Link
255,2023-03-26 23:01:22.569,General ,TWITTER,Evil Exhibited ,100899,464,Photo
256,2023-03-26 21:52:08.806,General ,TWITTER,Evil Exhibited ,11145,35,Photo
257,2023-03-26 20:53:13.061,General ,TWITTER,Evil Exhibited ,19084,91,Photo
258,2023-03-26 20:00:05.869,DOTA2,TWITTER,N/A ,10,0,Text
259,2023-03-26 18:15:55.381,General ,TWITTER,N/A ,0,0,Link
260,2023-03-26 18:01:58.185,General ,TWITTER,Evil Exhibited ,56409,206,Photo
261,2023-03-26 17:20:20.393,General ,TWITTER,Community Engagement ,13601,154,Photo
262,2023-03-26 17:18:34.369,General ,INSTAGRAM,N/A ,0,0,Photo
263,2023-03-26 17:18:30.000,General ,INSTAGRAM,Community Engagement ,3831,0,Photo
264,2023-03-26 17:14:37.000,General ,INSTAGRAM,Community Engagement ,3993,0,Photo
265,2023-03-26 17:14:27.936,General ,TWITTER,N/A ,0,0,Photo
266,2023-03-26 16:53:34.000,General ,INSTAGRAM,Community Engagement ,4044,0,Video
267,2023-03-26 16:52:02.761,General ,TWITTER,N/A ,0,0,Photo
268,2023-03-26 16:49:25.810,General ,INSTAGRAM,N/A ,0,0,Text
269,2023-03-26 16:46:10.116,DOTA2,TWITTER,N/A ,204,6,Text
270,2023-03-26 16:44:41.900,DOTA2,TWITTER,N/A ,4921,403,Photo
271,2023-03-26 16:42:33.328,General ,TWITTER,N/A ,13633,174,Photo
272,2023-03-26 16:42:14.749,DOTA2,TWITTER,Community Engagement ,948,24,Photo
273,2023-03-26 16:42:13.000,General ,FBPAGE,Community Engagement ,24893,1610,Photo
274,2023-03-26 16:41:32.000,General ,INSTAGRAM,Community Engagement ,4233,0,Photo
275,2023-03-26 16:40:39.526,General ,TWITTER,N/A ,0,0,Photo
276,2023-03-26 16:40:07.686,General ,TWITTER,Community Engagement ,13080,169,Photo
277,2023-03-26 16:35:50.825,DOTA2,TWITTER,N/A ,0,0,Photo
278,2023-03-26 16:35:41.974,General ,TWITTER,Community Engagement ,12303,350,Photo
279,2023-03-26 16:34:48.691,DOTA2,TWITTER,N/A ,858,14,Text
280,2023-03-26 16:27:35.258,General ,TWITTER,Community Engagement ,28257,937,Text
281,2023-03-26 15:55:39.074,DOTA2,TWITTER,N/A ,140,2,Video
282,2023-03-26 15:52:32.040,DOTA2,TWITTER,N/A ,661,14,Link
283,2023-03-26 15:40:11.910,General ,TWITTER,Community Engagement ,2124,40,Video
284,2023-03-26 15:39:46.265,General ,TWITTER,N/A ,0,0,Photo
285,2023-03-26 15:39:33.168,General ,TWITTER,Community Engagement ,11554,232,Video
286,2023-03-26 15:38:57.480,DOTA2,TWITTER,N/A ,779,21,Video
287,2023-03-26 15:27:35.041,General ,INSTAGRAM,N/A ,0,0,Photo
288,2023-03-26 15:26:52.000,General ,INSTAGRAM,Community Engagement ,4312,0,Video
289,2023-03-26 15:07:01.530,General ,INSTAGRAM,N/A ,0,0,Photo
290,2023-03-26 14:59:37.357,DOTA2,TWITTER,N/A ,617,12,Link
291,2023-03-26 14:55:31.656,DOTA2,TWITTER,N/A ,0,0,Photo
292,2023-03-26 14:54:51.069,General ,TWITTER,N/A ,0,0,Photo
293,2023-03-26 14:47:44.988,General ,TWITTER,Community Engagement ,5202,226,Photo
294,2023-03-26 14:45:56.908,General ,TWITTER,Community Engagement ,10227,93,Photo
295,2023-03-26 14:44:51.446,General ,TWITTER,N/A ,0,0,Video
296,2023-03-26 14:43:58.197,DOTA2,TWITTER,N/A ,1171,30,Text
297,2023-03-26 14:41:20.167,DOTA2,TWITTER,N/A ,0,0,Video
298,2023-03-26 14:39:10.383,General ,TWITTER,Community Engagement ,1839,58,Video
299,2023-03-26 14:39:04.115,DOTA2,TWITTER,N/A ,355,9,Text
300,2023-03-26 14:38:46.819,General ,TWITTER,N/A ,0,0,Video
301,2023-03-26 14:38:04.051,General ,TWITTER,Community Engagement ,12912,211,Photo
302,2023-03-26 14:18:34.529,DOTA2,TWITTER,N/A ,585,9,Video
303,2023-03-26 14:05:18.332,DOTA2,TWITTER,N/A ,562,13,Photo
304,2023-03-26 14:02:07.113,DOTA2,TWITTER,Community Engagement ,1040,29,Photo
305,2023-03-26 14:02:06.000,General ,FBPAGE,Community Engagement ,16814,829,Photo
306,2023-03-26 14:01:16.646,General ,TWITTER,Community Engagement ,31115,221,Photo
307,2023-03-26 14:01:15.000,General ,INSTAGRAM,Community Engagement ,4347,0,Photo
308,2023-03-26 13:51:59.596,DOTA2,TWITTER,N/A ,12015,526,Photo
309,2023-03-26 13:46:51.000,General ,INSTAGRAM,Community Engagement ,4630,0,Video
310,2023-03-26 12:36:20.000,General ,FBPAGE,N/A ,0,0,Text
311,2023-03-26 12:32:49.000,General ,FBPAGE,N/A ,0,0,Text
312,2023-03-26 12:30:08.000,General ,FBPAGE,Community Engagement ,42175,11988,Photo
313,2023-03-26 12:30:08.000,General ,FBPAGE,Community Engagement ,21088,5994,Photo
314,2023-03-26 12:30:08.000,General ,FBPAGE,Community Engagement ,21088,5994,Photo
315,2023-03-26 12:30:06.496,DOTA2,TWITTER,Community Engagement ,4722,637,Photo
316,2023-03-26 12:09:48.321,DOTA2,TWITTER,N/A ,206,3,Text
317,2023-03-26 12:06:17.000,General ,FBPAGE,N/A ,0,0,Text
318,2023-03-26 12:02:17.681,DOTA2,TWITTER,N/A ,666,5,Text
319,2023-03-26 12:01:15.469,DOTA2,TWITTER,Community Engagement ,3723,161,Photo
320,2023-03-26 12:01:15.000,General ,FBPAGE,Community Engagement ,41892,4219,Photo
321,2023-03-26 12:00:40.638,General ,TWITTER,Community Engagement ,20912,378,Photo
